,geo_value,time_value,value,sample_size,trend
114,ga,2020-12-29,62.5901,6102.9413,0
115,hi,2020-12-29,75.8316,961.0,70
116,ia,2020-12-29,74.4774,3660.2916,25
117,id,2020-12-29,66.7529,1979.6595,0
118,il,2020-12-29,73.1959,11723.044,7
119,in,2020-12-29,67.4528,6465.0055,30
120,ks,2020-12-29,71.954,3117.0889,32
121,ky,2020-12-29,69.0431,4214.1095,18
122,la,2020-12-29,61.0077,4014.3669,0
123,ma,2020-12-29,80.7757,5323.012,9
124,md,2020-12-29,78.1759,4422.9973,38
125,me,2020-12-29,76.8589,1976.0,24
126,mi,2020-12-29,71.8369,11033.081,0
127,mn,2020-12-29,79.9468,4635.2224,35
128,mo,2020-12-29,68.2066,5170.9918,17
129,ms,2020-12-29,61.5186,2648.2679,0
130,mt,2020-12-29,69.4227,1359.4082,0
131,nc,2020-12-29,68.809,9856.01,19
132,nd,2020-12-29,65.5806,745.6843,0
133,ne,2020-12-29,75.2239,1865.8466,0
134,nh,2020-12-29,78.0086,1852.0,48
135,nj,2020-12-29,74.5314,6133.9968,34
136,nm,2020-12-29,76.5287,2730.9516,0
137,nv,2020-12-29,70.0859,2115.3946,0
138,ny,2020-12-29,74.6307,13809.0011,13
139,oh,2020-12-29,68.284,11612.9999,21
140,ok,2020-12-29,66.1299,4311.0537,24
141,or,2020-12-29,74.6649,4217.6497,16
142,pa,2020-12-29,72.7212,12659.0052,21
143,ri,2020-12-29,81.1628,1142.988,0
144,sc,2020-12-29,65.094,5478.0011,0
145,sd,2020-12-29,71.498,1028.1693,0
146,tn,2020-12-29,66.4348,6538.8717,100
147,tx,2020-12-29,69.2924,19569.0074,53
148,us,2020-12-29,72.1283,279618.593,42
149,ut,2020-12-29,73.8295,2825.1484,0
150,va,2020-12-29,74.3707,8125.211,22
151,vt,2020-12-29,84.0588,849.0013,0
152,wa,2020-12-29,79.4045,6900.9613,12
153,wi,2020-12-29,75.2713,5625.92,17
154,wv,2020-12-29,68.0878,2545.0581,51
155,wy,2020-12-29,62.328,703.6744,0
156,ak,2020-12-30,70.9774,838.0,87
157,al,2020-12-30,61.5923,4351.1153,20
158,ar,2020-12-30,66.4718,3161.8348,24
159,az,2020-12-30,73.2585,5900.4964,33
160,ca,2020-12-30,78.2981,26865.7631,46
161,co,2020-12-30,77.8759,5424.6233,0
162,ct,2020-12-30,80.6098,4148.0,0
163,dc,2020-12-30,84.6062,418.0,34
164,de,2020-12-30,74.4269,1264.0,0
165,fl,2020-12-30,69.2636,17679.9997,54
166,ga,2020-12-30,62.907,6386.9384,57
