,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
3,az,smoothed_wearing_mask,2020-10-10,2020-12-09,60,87.1739589,0.4692146,5078.5097,state,fb-survey
4,ca,smoothed_wearing_mask,2020-10-10,2020-12-09,60,91.7486281,0.1960394,19698.7557,state,fb-survey
5,co,smoothed_wearing_mask,2020-10-10,2020-12-09,60,87.5956422,0.4657572,5008.845,state,fb-survey
6,ct,smoothed_wearing_mask,2020-10-10,2020-12-09,60,94.418177,0.3721187,3806.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-10-10,2020-12-09,60,97.0725995,0.8167415,426.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-10-10,2020-12-09,60,93.5775862,0.7201009,1159.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-10-10,2020-12-09,60,85.3254134,0.286767,15225.9993,state,fb-survey
10,ga,smoothed_wearing_mask,2020-10-10,2020-12-09,60,82.8480835,0.4863748,6006.9362,state,fb-survey
11,hi,smoothed_wearing_mask,2020-10-10,2020-12-09,60,93.0170576,0.8325891,937.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-10-10,2020-12-09,60,78.9779089,0.6929814,3457.3101,state,fb-survey
13,id,smoothed_wearing_mask,2020-10-10,2020-12-09,60,73.6801442,1.0318012,1821.5533,state,fb-survey
14,il,smoothed_wearing_mask,2020-10-10,2020-12-09,60,89.4215205,0.3111763,9769.0459,state,fb-survey
15,in,smoothed_wearing_mask,2020-10-10,2020-12-09,60,84.9842559,0.4722052,5723.0014,state,fb-survey
16,ks,smoothed_wearing_mask,2020-10-10,2020-12-09,60,81.6133412,0.7324744,2796.914,state,fb-survey
17,ky,smoothed_wearing_mask,2020-10-10,2020-12-09,60,88.0597218,0.5359561,3660.4398,state,fb-survey
18,la,smoothed_wearing_mask,2020-10-10,2020-12-09,60,81.9275433,0.6632338,3365.9977,state,fb-survey
19,ma,smoothed_wearing_mask,2020-10-10,2020-12-09,60,94.0312255,0.339619,4866.0125,state,fb-survey
20,md,smoothed_wearing_mask,2020-10-10,2020-12-09,60,92.8629671,0.4245545,3676.9976,state,fb-survey
21,me,smoothed_wearing_mask,2020-10-10,2020-12-09,60,86.8553812,0.8001966,1783.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-10-10,2020-12-09,60,88.1961595,0.3329689,9390.0029,state,fb-survey
23,mn,smoothed_wearing_mask,2020-10-10,2020-12-09,60,88.8859859,0.480557,4277.7412,state,fb-survey
24,mo,smoothed_wearing_mask,2020-10-10,2020-12-09,60,80.5685991,0.5824305,4615.1067,state,fb-survey
25,ms,smoothed_wearing_mask,2020-10-10,2020-12-09,60,80.5418419,0.8658165,2090.6029,state,fb-survey
26,mt,smoothed_wearing_mask,2020-10-10,2020-12-09,60,82.4105702,0.9955229,1462.6222,state,fb-survey
27,nc,smoothed_wearing_mask,2020-10-10,2020-12-09,60,87.2002588,0.3773366,7839.0085,state,fb-survey
28,nd,smoothed_wearing_mask,2020-10-10,2020-12-09,60,71.7038245,1.5959147,796.6191,state,fb-survey
29,ne,smoothed_wearing_mask,2020-10-10,2020-12-09,60,79.9517419,0.922884,1881.9596,state,fb-survey
30,nh,smoothed_wearing_mask,2020-10-10,2020-12-09,60,88.7286639,0.7674513,1698.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-10-10,2020-12-09,60,92.1832652,0.3493835,5902.9984,state,fb-survey
32,nm,smoothed_wearing_mask,2020-10-10,2020-12-09,60,90.3323729,0.7186758,1690.8195,state,fb-survey
33,nv,smoothed_wearing_mask,2020-10-10,2020-12-09,60,88.6568625,0.7260629,1907.643,state,fb-survey
34,ny,smoothed_wearing_mask,2020-10-10,2020-12-09,60,93.5509974,0.2266439,11745.0008,state,fb-survey
35,oh,smoothed_wearing_mask,2020-10-10,2020-12-09,60,85.3390397,0.3593667,9688.0079,state,fb-survey
36,ok,smoothed_wearing_mask,2020-10-10,2020-12-09,60,78.483488,0.6917391,3529.1126,state,fb-survey
37,or,smoothed_wearing_mask,2020-10-10,2020-12-09,60,89.7734694,0.4714534,4130.4637,state,fb-survey
38,pa,smoothed_wearing_mask,2020-10-10,2020-12-09,60,87.7210713,0.3078694,11364.0061,state,fb-survey
39,ri,smoothed_wearing_mask,2020-10-10,2020-12-09,60,94.0427959,0.755705,980.9875,state,fb-survey
40,sc,smoothed_wearing_mask,2020-10-10,2020-12-09,60,84.2930146,0.5314327,4688.0029,state,fb-survey
41,sd,smoothed_wearing_mask,2020-10-10,2020-12-09,60,70.5034708,1.47368,957.5799,state,fb-survey
42,tn,smoothed_wearing_mask,2020-10-10,2020-12-09,60,81.3078285,0.5379632,5251.5433,state,fb-survey
43,tx,smoothed_wearing_mask,2020-10-10,2020-12-09,60,86.8043454,0.2636544,16477.9149,state,fb-survey
44,ut,smoothed_wearing_mask,2020-10-10,2020-12-09,60,83.2398977,0.6891069,2937.8866,state,fb-survey
45,va,smoothed_wearing_mask,2020-10-10,2020-12-09,60,89.8457808,0.3521799,7355.5499,state,fb-survey
46,vt,smoothed_wearing_mask,2020-10-10,2020-12-09,60,93.6024892,0.8630203,804.0006,state,fb-survey
47,wa,smoothed_wearing_mask,2020-10-10,2020-12-09,60,90.9206722,0.3512743,6689.9623,state,fb-survey
48,wi,smoothed_wearing_mask,2020-10-10,2020-12-09,60,87.1038885,0.4294767,6089.9965,state,fb-survey
49,wv,smoothed_wearing_mask,2020-10-10,2020-12-09,60,86.520156,0.7246141,2221.2045,state,fb-survey
50,wy,smoothed_wearing_mask,2020-10-10,2020-12-09,60,61.6952651,1.8883964,662.7015,state,fb-survey
0,ak,smoothed_wearing_mask,2020-10-11,2020-12-09,59,83.0779055,1.3408076,782.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-10-11,2020-12-09,59,83.0250498,0.6431585,3407.0748,state,fb-survey
2,ar,smoothed_wearing_mask,2020-10-11,2020-12-09,59,84.4825976,0.739559,2396.8485,state,fb-survey
3,az,smoothed_wearing_mask,2020-10-11,2020-12-09,59,86.8971127,0.4760307,5024.6099,state,fb-survey
4,ca,smoothed_wearing_mask,2020-10-11,2020-12-09,59,91.7819076,0.1960698,19620.3431,state,fb-survey
5,co,smoothed_wearing_mask,2020-10-11,2020-12-09,59,87.3172756,0.4728084,4953.8447,state,fb-survey
6,ct,smoothed_wearing_mask,2020-10-11,2020-12-09,59,94.3848168,0.3725274,3819.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-10-11,2020-12-09,59,96.6435185,0.8675407,431.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-10-11,2020-12-09,59,93.4187279,0.7372938,1131.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-10-11,2020-12-09,59,85.1588642,0.2877493,15264.0001,state,fb-survey
10,ga,smoothed_wearing_mask,2020-10-11,2020-12-09,59,82.6391559,0.4909632,5951.945,state,fb-survey
11,hi,smoothed_wearing_mask,2020-10-11,2020-12-09,59,91.7741935,0.9014501,929.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-10-11,2020-12-09,59,78.5648166,0.698531,3451.3101,state,fb-survey
13,id,smoothed_wearing_mask,2020-10-11,2020-12-09,59,73.8742034,1.0212313,1850.6067,state,fb-survey
14,il,smoothed_wearing_mask,2020-10-11,2020-12-09,59,89.2836598,0.3165239,9550.0452,state,fb-survey
15,in,smoothed_wearing_mask,2020-10-11,2020-12-09,59,84.797347,0.479796,5600.004,state,fb-survey
16,ks,smoothed_wearing_mask,2020-10-11,2020-12-09,59,81.3764383,0.7400756,2767.0006,state,fb-survey
