,geo_value,time_value,value,sample_size,positive,negative,trend
516,wa,2020-10-18,91.6782,5820.9734,5336.5624,484.411,64
517,wi,2020-10-18,87.5023,5195.9636,4546.5874,649.3762,40
518,wv,2020-10-18,85.2101,1882.0554,1603.7019,278.3535,39
519,wy,2020-10-18,62.402,630.7962,393.6297,237.1665,19
520,ak,2020-10-19,83.2153,705.0,586.6678,118.3322,61
521,al,2020-10-19,83.0588,3042.0951,2526.7281,515.367,64
522,ar,2020-10-19,85.501,2215.9352,1894.6467,321.2885,79
523,az,2020-10-19,86.9433,4613.495,4011.1256,602.3694,77
524,ca,2020-10-19,91.0981,16664.2368,15180.797,1483.4398,67
525,co,2020-10-19,87.7087,4558.8765,3998.5292,560.3473,80
526,ct,2020-10-19,93.6951,3417.0,3201.563,215.437,77
527,dc,2020-10-19,96.384,400.0,385.5362,14.4638,77
528,de,2020-10-19,93.0308,982.0073,913.5697,68.4376,100
529,fl,2020-10-19,84.7402,13894.999,11774.652,2120.347,84
530,ga,2020-10-19,82.5718,5119.9551,4227.638,892.3171,72
531,hi,2020-10-19,93.8717,872.0,818.5613,53.4387,37
532,ia,2020-10-19,78.9187,3168.5654,2500.5902,667.9752,37
533,id,2020-10-19,74.8481,1695.8245,1269.2925,426.532,44
534,il,2020-10-19,88.8676,8717.0229,7746.6115,970.4114,84
535,in,2020-10-19,84.7883,5314.0033,4505.6548,808.3485,82
536,ks,2020-10-19,81.4639,2525.8837,2057.6839,468.1998,68
537,ky,2020-10-19,87.1544,3184.4184,2775.3611,409.0573,79
538,la,2020-10-19,80.3687,2983.3679,2397.6945,585.6734,66
539,ma,2020-10-19,94.8123,4500.006,4266.5579,233.4481,75
540,md,2020-10-19,93.7541,3240.991,3038.5613,202.4297,71
541,me,2020-10-19,88.7415,1469.0,1303.6126,165.3874,27
542,mi,2020-10-19,87.7962,8230.0217,7225.6444,1004.3773,76
543,mn,2020-10-19,89.0622,3789.6189,3375.1183,414.5006,55
544,mo,2020-10-19,80.8833,4174.7714,3376.6947,798.0767,68
545,ms,2020-10-19,79.1824,1911.0247,1513.1956,397.8291,60
546,mt,2020-10-19,81.4538,1389.2306,1131.5814,257.6492,28
547,nc,2020-10-19,86.6681,7031.0056,6093.6382,937.3674,47
548,nd,2020-10-19,73.9484,757.0862,559.853,197.2332,29
549,ne,2020-10-19,82.1071,1766.7804,1450.653,316.1274,86
550,nh,2020-10-19,88.2226,1625.0,1433.6178,191.3822,23
551,nj,2020-10-19,92.0334,4975.9987,4579.5785,396.4202,72
552,nm,2020-10-19,89.6114,1717.502,1539.0769,178.4251,78
553,nv,2020-10-19,88.4655,1743.3182,1542.2352,201.083,77
554,ny,2020-10-19,93.6649,10504.0008,9838.5645,665.4363,80
555,oh,2020-10-19,86.4193,8905.0021,7695.6374,1209.3647,62
556,ok,2020-10-19,78.1251,3252.1135,2540.7182,711.3953,66
557,or,2020-10-19,90.0978,3579.0222,3224.6185,354.4037,62
558,pa,2020-10-19,87.3445,10046.0058,8774.6316,1271.3742,50
559,ri,2020-10-19,92.7544,902.994,837.5665,65.4275,49
560,sc,2020-10-19,83.5188,4134.0016,3452.6666,681.335,45
